#"Progress (%)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
1570.0%,2283.7666015625,322.1470414345766,0.30085906306723326,395
1580.0%,2260.013671875,326.12388670005726,0.30085906306723326,395
1590.0%,2238.6015625,340.071289609567,0.30085906306723326,395
1600.0%,2297.244140625,302.24216741574793,0.30085906306723326,395
1610.0%,2212.2099609375,325.2370545325332,0.30085906306723326,395
1620.0%,2251.365234375,324.79950174584707,0.30085906306723326,395
1630.0%,2303.4873046875,304.83413962176974,0.30085906306723326,395
1640.0%,2188.2392578125,329.31070205924186,0.30085906306723326,395
1650.0%,2268.92578125,298.4872956356084,0.30085906306723326,395
1660.0%,2117.8701171875,347.27161475132266,0.30085906306723326,395
1670.0%,2268.8466796875,300.5188598331535,0.30085906306723326,395
1680.0%,2194.5302734375,308.04086324233435,0.30085906306723326,395
1690.0%,2205.4345703125,297.4656264091118,0.30085906306723326,395
1700.0%,2196.37109375,284.8555484064309,0.30085906306723326,395
1710.0%,2152.8798828125,284.29259202411004,0.30085906306723326,395
1720.0%,2113.2119140625,302.6407573336715,0.30085906306723326,395
1730.0%,2162.2197265625,287.8834249731758,0.30085906306723326,396
1740.0%,2181.1591796875,287.6578661062975,0.30085906306723326,396
1750.0%,2132.66015625,313.2069276481057,0.30085906306723326,396
1760.0%,2155.7578125,306.4999393632113,0.30085906306723326,396
1770.0%,2147.876953125,287.0260540040738,0.30085906306723326,396
1780.0%,2193.798828125,283.5117654464971,0.30085906306723326,396
1790.0%,2200.240234375,282.91262286556093,0.30085906306723326,396
1800.0%,2223.552734375,263.80997770255226,0.30085906306723326,396
1810.0%,2138.72265625,294.644889475739,0.30085906306723326,396
1820.0%,2193.185546875,287.45368589974504,0.30085906306723326,396
1830.0%,2139.9638671875,316.6010667249704,0.30085906306723326,396
1840.0%,2146.013671875,297.36698493226453,0.30085906306723326,396
1850.0%,2171.9716796875,298.04537058205597,0.30085906306723326,396
1860.0%,2206.26953125,295.0743347281532,0.30085906306723326,396
1870.0%,2152.7958984375,315.64386407425087,0.30085906306723326,396
1880.0%,2192.6181640625,311.9734238518584,0.30085906306723326,396
1890.0%,2148.1787109375,310.87427658926117,0.30085906306723326,396
1900.0%,2222.4580078125,283.1600800374665,0.30085906306723326,396
1910.0%,2179.095703125,300.7645117059728,0.30085906306723326,396
1920.0%,2175.5830078125,306.3753269739132,0.30085906306723326,396
1930.0%,2163.095703125,289.0418902845681,0.30085906306723326,396
1940.0%,2136.431640625,280.59656320782244,0.30085906306723326,396
1950.0%,2149.0146484375,291.58738269706816,0.30085906306723326,396
1960.0%,2124.150390625,293.3940294536487,0.30085906306723326,396
1970.0%,2214.4248046875,306.71439662888866,0.30085906306723326,396
1980.0%,2149.162109375,308.2209215734823,0.30085906306723326,396
1990.0%,2178.3427734375,278.6480867620324,0.30085906306723326,396
2000.0%,2141.7158203125,295.66678403481154,0.30085906306723326,396
2010.0%,2104.322265625,313.83836227850696,0.30085906306723326,397
2020.0%,2126.8974609375,308.34886971540794,0.30085906306723326,397
2030.0%,2140.904296875,318.09255104752776,0.30085906306723326,397
2040.0%,2144.4365234375,304.84379178100573,0.30085906306723326,397
2050.0%,2191.0888671875,304.6798303175462,0.30085906306723326,397
2060.0%,2186.5390625,306.40366144341164,0.30085906306723326,394
2070.0%,2162.015625,313.2947292000739,0.30085906306723326,394
2080.0%,2124.4345703125,333.72357727160295,0.30085906306723326,394
2090.0%,2236.5419921875,315.3387854003972,0.30085906306723326,394
2100.0%,2197.6552734375,311.1851463109913,0.30085906306723326,394
2110.0%,2154.1298828125,293.12202360964153,0.30085906306723326,394
2120.0%,2196.09765625,305.3216089022001,0.30085906306723326,394
2130.0%,2254.8525390625,284.8239461736626,0.30085906306723326,394
2140.0%,2192.521484375,308.62036057485403,0.30085906306723326,394
2150.0%,2256.5361328125,300.10591915792253,0.30085906306723326,394
2160.0%,2176.3994140625,336.1015003180817,0.30085906306723326,394
