#"Progress (%)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
3930.0%,1976.81640625,319.4657728674559,0.30085906306723326,393
3940.0%,2004.109375,314.3967422621744,0.30085906306723326,393
3950.0%,1991.375,303.14254014941446,0.30085906306723326,393
3960.0%,1963.857421875,318.4324140685469,0.30085906306723326,393
3970.0%,1961.21484375,312.4479794028314,0.30085906306723326,393
3980.0%,1877.84765625,341.16118121500153,0.30085906306723326,393
3990.0%,1983.2373046875,293.6570042808373,0.30085906306723326,393
4000.0%,1953.4560546875,329.23185057414815,0.30085906306723326,393
4010.0%,1953.4541015625,318.6765267431082,0.30085906306723326,393
4020.0%,1991.5849609375,319.83316245106363,0.30085906306723326,393
4030.0%,2025.37109375,293.7758003952085,0.30085906306723326,393
4040.0%,1967.3408203125,306.80532942826284,0.30085906306723326,393
4050.0%,1995.88671875,279.5177623946153,0.30085906306723326,393
4060.0%,1950.3662109375,303.58514183277254,0.30085906306723326,393
4070.0%,2007.1875,289.98041649390734,0.30085906306723326,393
4080.0%,2002.033203125,278.4526365396893,0.30085906306723326,393
4090.0%,1969.7109375,289.0781057516791,0.30085906306723326,393
4100.0%,2000.984375,290.74156357546246,0.30085906306723326,393
4110.0%,1971.2626953125,298.9197502376251,0.30085906306723326,393
4120.0%,1970.998046875,289.7298218119762,0.30085906306723326,393
4130.0%,1967.23828125,302.8885141196413,0.30085906306723326,393
4140.0%,1958.041015625,304.7143890918942,0.30085906306723326,393
4150.0%,1935.14453125,308.0309162789809,0.30085906306723326,393
4160.0%,1983.9033203125,305.4383312807143,0.30085906306723326,393
4170.0%,1969.158203125,328.6120528410277,0.30085906306723326,393
4180.0%,1998.9267578125,308.66107632719235,0.30085906306723326,393
4190.0%,1961.478515625,329.40746943271114,0.30085906306723326,393
4200.0%,1977.98828125,314.2814195117245,0.30085906306723326,393
4210.0%,2000.6123046875,305.9101052926947,0.30085906306723326,393
4220.0%,2016.0048828125,316.81148309621585,0.30085906306723326,393
4230.0%,2045.919921875,322.04146321844456,0.30085906306723326,393
4240.0%,1993.3076171875,325.42052957865354,0.30085906306723326,393
4250.0%,1969.259765625,342.84795848414564,0.30085906306723326,393
4260.0%,1985.462890625,302.2348319198866,0.30085906306723326,393
4270.0%,2026.736328125,293.1830525600521,0.30085906306723326,393
4280.0%,1967.0,308.8856228430378,0.30085906306723326,393
4290.0%,1954.646484375,297.7965735251859,0.30085906306723326,393
